,constructor,race,points,year,race_name,start_date,location,country_code,month,start_epoch
0,RED,1,78.0,2023,Bahrain Grand Prix,2023-03-05 15:00:00+00:00,Sakhir,BRN,3,1678028400
1,MER,1,45.0,2023,Bahrain Grand Prix,2023-03-05 15:00:00+00:00,Sakhir,BRN,3,1678028400
2,FER,1,31.0,2023,Bahrain Grand Prix,2023-03-05 15:00:00+00:00,Sakhir,BRN,3,1678028400
3,MCL,1,-16.0,2023,Bahrain Grand Prix,2023-03-05 15:00:00+00:00,Sakhir,BRN,3,1678028400
4,AST,1,56.0,2023,Bahrain Grand Prix,2023-03-05 15:00:00+00:00,Sakhir,BRN,3,1678028400
5,ALP,1,8.0,2023,Bahrain Grand Prix,2023-03-05 15:00:00+00:00,Sakhir,BRN,3,1678028400
6,ALT,1,17.0,2023,Bahrain Grand Prix,2023-03-05 15:00:00+00:00,Sakhir,BRN,3,1678028400
7,ALF,1,31.0,2023,Bahrain Grand Prix,2023-03-05 15:00:00+00:00,Sakhir,BRN,3,1678028400
8,HAA,1,12.0,2023,Bahrain Grand Prix,2023-03-05 15:00:00+00:00,Sakhir,BRN,3,1678028400
9,WIL,1,25.0,2023,Bahrain Grand Prix,2023-03-05 15:00:00+00:00,Sakhir,BRN,3,1678028400
10,RED,2,95.0,2023,Saudi Arabian Grand Prix,2023-03-19 17:00:00+00:00,Jeddah,KSA,3,1679245200
11,MER,2,44.0,2023,Saudi Arabian Grand Prix,2023-03-19 17:00:00+00:00,Jeddah,KSA,3,1679245200
12,FER,2,59.0,2023,Saudi Arabian Grand Prix,2023-03-19 17:00:00+00:00,Jeddah,KSA,3,1679245200
13,MCL,2,14.0,2023,Saudi Arabian Grand Prix,2023-03-19 17:00:00+00:00,Jeddah,KSA,3,1679245200
14,AST,2,19.0,2023,Saudi Arabian Grand Prix,2023-03-19 17:00:00+00:00,Jeddah,KSA,3,1679245200
15,ALP,2,28.0,2023,Saudi Arabian Grand Prix,2023-03-19 17:00:00+00:00,Jeddah,KSA,3,1679245200
16,ALT,2,15.0,2023,Saudi Arabian Grand Prix,2023-03-19 17:00:00+00:00,Jeddah,KSA,3,1679245200
17,ALF,2,7.0,2023,Saudi Arabian Grand Prix,2023-03-19 17:00:00+00:00,Jeddah,KSA,3,1679245200
18,HAA,2,13.0,2023,Saudi Arabian Grand Prix,2023-03-19 17:00:00+00:00,Jeddah,KSA,3,1679245200
19,WIL,2,-16.0,2023,Saudi Arabian Grand Prix,2023-03-19 17:00:00+00:00,Jeddah,KSA,3,1679245200
20,RED,3,98.0,2023,Australian Grand Prix,2023-04-02 05:00:00+00:00,Melbourne,AUS,4,1680411600
21,MER,3,32.0,2023,Australian Grand Prix,2023-04-02 05:00:00+00:00,Melbourne,AUS,4,1680411600
22,FER,3,3.0,2023,Australian Grand Prix,2023-04-02 05:00:00+00:00,Melbourne,AUS,4,1680411600
23,MCL,3,36.0,2023,Australian Grand Prix,2023-04-02 05:00:00+00:00,Melbourne,AUS,4,1680411600
24,AST,3,54.0,2023,Australian Grand Prix,2023-04-02 05:00:00+00:00,Melbourne,AUS,4,1680411600
25,ALP,3,11.0,2023,Australian Grand Prix,2023-04-02 05:00:00+00:00,Melbourne,AUS,4,1680411600
26,ALT,3,13.0,2023,Australian Grand Prix,2023-04-02 05:00:00+00:00,Melbourne,AUS,4,1680411600
27,ALF,3,26.0,2023,Australian Grand Prix,2023-04-02 05:00:00+00:00,Melbourne,AUS,4,1680411600
28,HAA,3,18.0,2023,Australian Grand Prix,2023-04-02 05:00:00+00:00,Melbourne,AUS,4,1680411600
29,WIL,3,-5.0,2023,Australian Grand Prix,2023-04-02 05:00:00+00:00,Melbourne,AUS,4,1680411600
30,RED,4,108.0,2023,Azerbaijan Grand Prix,2023-04-30 11:00:00+00:00,Baku,AZE,4,1682852400
31,MER,4,49.0,2023,Azerbaijan Grand Prix,2023-04-30 11:00:00+00:00,Baku,AZE,4,1682852400
32,FER,4,63.0,2023,Azerbaijan Grand Prix,2023-04-30 11:00:00+00:00,Baku,AZE,4,1682852400
33,MCL,4,23.0,2023,Azerbaijan Grand Prix,2023-04-30 11:00:00+00:00,Baku,AZE,4,1682852400
34,AST,4,55.0,2023,Azerbaijan Grand Prix,2023-04-30 11:00:00+00:00,Baku,AZE,4,1682852400
35,ALP,4,25.0,2023,Azerbaijan Grand Prix,2023-04-30 11:00:00+00:00,Baku,AZE,4,1682852400
36,ALT,4,-23.0,2023,Azerbaijan Grand Prix,2023-04-30 11:00:00+00:00,Baku,AZE,4,1682852400
37,ALF,4,-10.0,2023,Azerbaijan Grand Prix,2023-04-30 11:00:00+00:00,Baku,AZE,4,1682852400
