,driver,race,constructor,year
0,VER,1,RBR,2023
1,PER,1,RBR,2023
2,NOR,1,MCL,2023
3,PIA,1,MCL,2023
4,HAM,1,MER,2023
5,RUS,1,MER,2023
6,LEC,1,FER,2023
7,SAI,1,FER,2023
8,ALO,1,AMR,2023
9,STR,1,AMR,2023
10,OCO,1,ALP,2023
11,GAS,1,ALP,2023
12,TSU,1,AT,2023
13,DEV,1,AT,2023
16,ALB,1,WIL,2023
17,SAR,1,WIL,2023
18,MAG,1,HAS,2023
19,HUL,1,HAS,2023
20,BOT,1,ALF,2023
21,ZHO,1,ALF,2023
22,VER,2,RBR,2023
23,PER,2,RBR,2023
24,NOR,2,MCL,2023
25,PIA,2,MCL,2023
26,HAM,2,MER,2023
27,RUS,2,MER,2023
28,LEC,2,FER,2023
29,SAI,2,FER,2023
30,ALO,2,AMR,2023
31,STR,2,AMR,2023
32,OCO,2,ALP,2023
33,GAS,2,ALP,2023
34,TSU,2,AT,2023
35,DEV,2,AT,2023
38,ALB,2,WIL,2023
39,SAR,2,WIL,2023
40,MAG,2,HAS,2023
41,HUL,2,HAS,2023
42,BOT,2,ALF,2023
43,ZHO,2,ALF,2023
44,VER,3,RBR,2023
45,PER,3,RBR,2023
46,NOR,3,MCL,2023
47,PIA,3,MCL,2023
48,HAM,3,MER,2023
49,RUS,3,MER,2023
50,LEC,3,FER,2023
51,SAI,3,FER,2023
52,ALO,3,AMR,2023
53,STR,3,AMR,2023
54,OCO,3,ALP,2023
55,GAS,3,ALP,2023
56,TSU,3,AT,2023
57,DEV,3,AT,2023
60,ALB,3,WIL,2023
61,SAR,3,WIL,2023
62,MAG,3,HAS,2023
63,HUL,3,HAS,2023
64,BOT,3,ALF,2023
65,ZHO,3,ALF,2023
66,VER,4,RBR,2023
67,PER,4,RBR,2023
68,NOR,4,MCL,2023
69,PIA,4,MCL,2023
70,HAM,4,MER,2023
71,RUS,4,MER,2023
72,LEC,4,FER,2023
73,SAI,4,FER,2023
74,ALO,4,AMR,2023
75,STR,4,AMR,2023
76,OCO,4,ALP,2023
77,GAS,4,ALP,2023
78,TSU,4,AT,2023
79,DEV,4,AT,2023
82,ALB,4,WIL,2023
83,SAR,4,WIL,2023
84,MAG,4,HAS,2023
85,HUL,4,HAS,2023
86,BOT,4,ALF,2023
87,ZHO,4,ALF,2023
88,VER,5,RBR,2023
89,PER,5,RBR,2023
90,NOR,5,MCL,2023
91,PIA,5,MCL,2023
92,HAM,5,MER,2023
93,RUS,5,MER,2023
94,LEC,5,FER,2023
95,SAI,5,FER,2023
96,ALO,5,AMR,2023
97,STR,5,AMR,2023
98,OCO,5,ALP,2023
99,GAS,5,ALP,2023
100,TSU,5,AT,2023
101,DEV,5,AT,2023
104,ALB,5,WIL,2023
105,SAR,5,WIL,2023
106,MAG,5,HAS,2023
107,HUL,5,HAS,2023
108,BOT,5,ALF,2023
109,ZHO,5,ALF,2023
110,VER,7,RBR,2023
111,PER,7,RBR,2023
112,NOR,7,MCL,2023
113,PIA,7,MCL,2023
114,HAM,7,MER,2023
115,RUS,7,MER,2023
116,LEC,7,FER,2023
117,SAI,7,FER,2023
118,ALO,7,AMR,2023
119,STR,7,AMR,2023
120,OCO,7,ALP,2023
121,GAS,7,ALP,2023
122,TSU,7,AT,2023
123,DEV,7,AT,2023
126,ALB,7,WIL,2023
127,SAR,7,WIL,2023
128,MAG,7,HAS,2023
129,HUL,7,HAS,2023
130,BOT,7,ALF,2023
131,ZHO,7,ALF,2023
132,VER,8,RBR,2023
133,PER,8,RBR,2023
134,NOR,8,MCL,2023
135,PIA,8,MCL,2023
136,HAM,8,MER,2023
137,RUS,8,MER,2023
138,LEC,8,FER,2023
139,SAI,8,FER,2023
140,ALO,8,AMR,2023
141,STR,8,AMR,2023
142,OCO,8,ALP,2023
143,GAS,8,ALP,2023
144,TSU,8,AT,2023
145,DEV,8,AT,2023
148,ALB,8,WIL,2023
