,date_start,driver,driver_number,position,points,gap_to_leader,meeting_key,session_key
0,2023-03-05T15:00:00+00:00,VER,1,1.0,25.0,0,1141,7953
1,2023-03-05T15:00:00+00:00,PER,11,2.0,18.0,11.987,1141,7953
2,2023-03-05T15:00:00+00:00,ALO,14,3.0,15.0,38.637,1141,7953
3,2023-03-05T15:00:00+00:00,SAI,55,4.0,12.0,48.052,1141,7953
4,2023-03-05T15:00:00+00:00,HAM,44,5.0,10.0,50.977,1141,7953
5,2023-03-05T15:00:00+00:00,STR,18,6.0,8.0,54.502,1141,7953
6,2023-03-05T15:00:00+00:00,RUS,63,7.0,6.0,55.873,1141,7953
7,2023-03-05T15:00:00+00:00,BOT,77,8.0,4.0,72.647,1141,7953
8,2023-03-05T15:00:00+00:00,GAS,10,9.0,2.0,73.753,1141,7953
9,2023-03-05T15:00:00+00:00,ALB,23,10.0,1.0,89.774,1141,7953
10,2023-03-05T15:00:00+00:00,TSU,22,11.0,0.0,90.87,1141,7953
11,2023-03-05T15:00:00+00:00,SAR,2,12.0,0.0,+1 LAP,1141,7953
12,2023-03-05T15:00:00+00:00,MAG,20,13.0,0.0,+1 LAP,1141,7953
13,2023-03-05T15:00:00+00:00,DEV,21,14.0,0.0,+1 LAP,1141,7953
14,2023-03-05T15:00:00+00:00,HUL,27,15.0,0.0,+1 LAP,1141,7953
15,2023-03-05T15:00:00+00:00,ZHO,24,16.0,0.0,+1 LAP,1141,7953
16,2023-03-05T15:00:00+00:00,NOR,4,17.0,0.0,+2 LAPS,1141,7953
17,2023-03-05T15:00:00+00:00,OCO,31,,0.0,,1141,7953
18,2023-03-05T15:00:00+00:00,LEC,16,,0.0,,1141,7953
19,2023-03-05T15:00:00+00:00,PIA,81,,0.0,,1141,7953
20,2023-03-19T17:00:00+00:00,PER,11,1.0,25.0,0,1142,7779
21,2023-03-19T17:00:00+00:00,VER,1,2.0,0.0,5.355,1142,7779
22,2023-03-19T17:00:00+00:00,ALO,14,3.0,15.0,20.728,1142,7779
23,2023-03-19T17:00:00+00:00,RUS,63,4.0,12.0,25.866,1142,7779
24,2023-03-19T17:00:00+00:00,HAM,44,5.0,10.0,31.065,1142,7779
25,2023-03-19T17:00:00+00:00,SAI,55,6.0,8.0,35.876,1142,7779
26,2023-03-19T17:00:00+00:00,LEC,16,7.0,6.0,43.162,1142,7779
27,2023-03-19T17:00:00+00:00,OCO,31,8.0,4.0,52.832,1142,7779
28,2023-03-19T17:00:00+00:00,GAS,10,9.0,2.0,54.747,1142,7779
29,2023-03-19T17:00:00+00:00,MAG,20,10.0,1.0,64.826,1142,7779
30,2023-03-19T17:00:00+00:00,TSU,22,11.0,0.0,67.494,1142,7779
31,2023-03-19T17:00:00+00:00,HUL,27,12.0,0.0,70.588,1142,7779
32,2023-03-19T17:00:00+00:00,ZHO,24,13.0,0.0,76.06,1142,7779
33,2023-03-19T17:00:00+00:00,DEV,21,14.0,0.0,77.478,1142,7779
34,2023-03-19T17:00:00+00:00,PIA,81,15.0,0.0,85.021,1142,7779
35,2023-03-19T17:00:00+00:00,SAR,2,16.0,0.0,86.293,1142,7779
36,2023-03-19T17:00:00+00:00,NOR,4,17.0,0.0,86.445,1142,7779
37,2023-03-19T17:00:00+00:00,BOT,77,18.0,0.0,+1 LAP,1142,7779
38,2023-03-19T17:00:00+00:00,ALB,23,,0.0,,1142,7779
39,2023-03-19T17:00:00+00:00,STR,18,,0.0,,1142,7779
40,2023-04-02T05:00:00+00:00,VER,1,1.0,25.0,0.0,1143,7787
41,2023-04-02T05:00:00+00:00,HAM,44,2.0,18.0,0.179,1143,7787
42,2023-04-02T05:00:00+00:00,ALO,14,3.0,15.0,0.769,1143,7787
43,2023-04-02T05:00:00+00:00,STR,18,4.0,12.0,3.082,1143,7787
44,2023-04-02T05:00:00+00:00,PER,11,5.0,11.0,3.32,1143,7787
45,2023-04-02T05:00:00+00:00,NOR,4,6.0,8.0,3.701,1143,7787
46,2023-04-02T05:00:00+00:00,HUL,27,7.0,6.0,4.939,1143,7787
47,2023-04-02T05:00:00+00:00,PIA,81,8.0,4.0,5.382,1143,7787
48,2023-04-02T05:00:00+00:00,ZHO,24,9.0,2.0,5.713,1143,7787
49,2023-04-02T05:00:00+00:00,TSU,22,10.0,1.0,6.052,1143,7787
50,2023-04-02T05:00:00+00:00,BOT,77,11.0,0.0,6.513,1143,7787
51,2023-04-02T05:00:00+00:00,SAI,55,12.0,0.0,6.594,1143,7787
52,2023-04-02T05:00:00+00:00,GAS,10,13.0,0.0,,1143,7787
53,2023-04-02T05:00:00+00:00,OCO,31,14.0,0.0,,1143,7787
54,2023-04-02T05:00:00+00:00,DEV,21,15.0,0.0,,1143,7787
55,2023-04-02T05:00:00+00:00,SAR,2,16.0,0.0,,1143,7787
