,year,race,race_name,start_date,location,country_code,meeting_key,month,start_epoch
0,2023,1,Bahrain Grand Prix,2023-03-05 15:00:00+00:00,Sakhir,BRN,1141,3,1678028400
1,2023,2,Saudi Arabian Grand Prix,2023-03-19 17:00:00+00:00,Jeddah,KSA,1142,3,1679245200
2,2023,3,Australian Grand Prix,2023-04-02 05:00:00+00:00,Melbourne,AUS,1143,4,1680411600
3,2023,4,Azerbaijan Grand Prix,2023-04-30 11:00:00+00:00,Baku,AZE,1207,4,1682852400
4,2023,5,Miami Grand Prix,2023-05-07 19:30:00+00:00,Miami,USA,1208,5,1683487800
5,2023,6,Emilia Romagna Grand Prix,2023-05-21 13:00:00+00:00,Imola,ITA,1209,5,1684674000
6,2023,7,Monaco Grand Prix,2023-05-28 13:00:00+00:00,Monaco,MON,1210,5,1685278800
7,2023,8,Spanish Grand Prix,2023-06-04 13:00:00+00:00,Barcelona,ESP,1211,6,1685883600
8,2023,9,Canadian Grand Prix,2023-06-18 18:00:00+00:00,Montréal,CAN,1212,6,1687111200
9,2023,10,Austrian Grand Prix,2023-07-02 13:00:00+00:00,Spielberg,AUT,1213,7,1688302800
10,2023,11,British Grand Prix,2023-07-09 14:00:00+00:00,Silverstone,GBR,1214,7,1688911200
11,2023,12,Hungarian Grand Prix,2023-07-23 13:00:00+00:00,Budapest,HUN,1215,7,1690117200
12,2023,13,Belgian Grand Prix,2023-07-30 13:00:00+00:00,Spa-Francorchamps,BEL,1216,7,1690722000
13,2023,14,Dutch Grand Prix,2023-08-27 13:00:00+00:00,Zandvoort,NED,1217,8,1693141200
14,2023,15,Italian Grand Prix,2023-09-03 13:00:00+00:00,Monza,ITA,1218,9,1693746000
15,2023,16,Singapore Grand Prix,2023-09-17 12:00:00+00:00,Marina Bay,SGP,1219,9,1694952000
16,2023,17,Japanese Grand Prix,2023-09-24 05:00:00+00:00,Suzuka,JPN,1220,9,1695531600
17,2023,18,Qatar Grand Prix,2023-10-08 17:00:00+00:00,Lusail,QAT,1221,10,1696784400
18,2023,19,United States Grand Prix,2023-10-22 19:00:00+00:00,Austin,USA,1222,10,1698001200
19,2023,20,Mexico City Grand Prix,2023-10-29 20:00:00+00:00,Mexico City,MEX,1223,10,1698609600
20,2023,21,São Paulo Grand Prix,2023-11-05 17:00:00+00:00,São Paulo,BRA,1224,11,1699203600
21,2023,22,Las Vegas Grand Prix,2023-11-19 06:00:00+00:00,Las Vegas,USA,1225,11,1700373600
22,2023,23,Abu Dhabi Grand Prix,2023-11-26 13:00:00+00:00,Yas Island,UAE,1226,11,1701003600
23,2024,1,Bahrain Grand Prix,2024-03-02 15:00:00+00:00,Sakhir,BRN,1229,3,1709391600
24,2024,2,Saudi Arabian Grand Prix,2024-03-09 17:00:00+00:00,Jeddah,KSA,1230,3,1710003600
25,2024,3,Australian Grand Prix,2024-03-24 04:00:00+00:00,Melbourne,AUS,1231,3,1711252800
26,2024,4,Japanese Grand Prix,2024-04-07 05:00:00+00:00,Suzuka,JPN,1232,4,1712466000
27,2024,5,Chinese Grand Prix,2024-04-21 07:00:00+00:00,Shanghai,CHN,1233,4,1713682800
28,2024,6,Miami Grand Prix,2024-05-05 20:00:00+00:00,Miami,USA,1234,5,1714939200
29,2024,7,Emilia Romagna Grand Prix,2024-05-19 13:00:00+00:00,Imola,ITA,1235,5,1716123600
30,2024,8,Monaco Grand Prix,2024-05-26 13:00:00+00:00,Monaco,MON,1236,5,1716728400
31,2024,9,Canadian Grand Prix,2024-06-09 18:00:00+00:00,Montréal,CAN,1237,6,1717956000
32,2024,10,Spanish Grand Prix,2024-06-23 13:00:00+00:00,Barcelona,ESP,1238,6,1719147600
