,year,race_num,race_name,location,start_date,driver,price,points,constructor,country_code,meeting_key_x,month,start_epoch,meeting_key_y,price_change_prev_race,price_rank,points_last_three_avg,points_last_five_avg,ppm_last_3,ppm_last_5
1751,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,RUS,28.3,,MER,USA,1284,5,1777838400,1284,0.3,1.0,37.0,30.6,1.31,1.08
1750,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,VER,28.2,,RBR,USA,1284,5,1777838400,1284,0.1,2.0,25.67,35.6,0.91,1.26
1752,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,NOR,26.5,,MCL,USA,1284,5,1777838400,1284,-0.3,3.0,11.67,17.8,0.44,0.67
1753,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,PIA,24.6,,MCL,USA,1284,5,1777838400,1284,-0.3,4.0,7.33,19.2,0.3,0.78
1754,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,ANT,24.1,,MER,USA,1284,5,1777838400,1284,0.3,5.0,50.0,35.6,2.07,1.48
1755,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,LEC,23.7,,FER,USA,1284,5,1777838400,1284,0.3,6.0,37.0,30.2,1.56,1.27
1756,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,HAM,23.2,,FER,USA,1284,5,1777838400,1284,0.3,7.0,30.67,26.0,1.32,1.12
1757,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,HAD,13.3,,RBR,USA,1284,5,1777838400,1284,-0.6,8.0,5.33,3.0,0.4,0.23
1758,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,GAS,13.0,,ALP,USA,1284,5,1777838400,1284,0.2,9.0,15.0,10.2,1.15,0.78
1759,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,SAI,12.4,,WIL,USA,1284,5,1777838400,1284,0.2,10.0,13.67,14.2,1.1,1.15
1760,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,ALB,10.2,,WIL,USA,1284,5,1777838400,1284,-0.6,11.0,0.0,3.0,0.0,0.29
1763,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,BEA,9.2,,HAS,USA,1284,5,1777838400,1284,0.6,12.0,13.33,5.8,1.45,0.63
1764,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,OCO,9.1,,HAS,USA,1284,5,1777838400,1284,0.6,13.0,14.0,13.8,1.54,1.52
1761,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,ALO,8.2,,AMR,USA,1284,5,1777838400,1284,-0.6,14.0,-5.67,2.4,-0.69,0.29
1769,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,COL,7.6,,ALP,USA,1284,5,1777838400,1284,0.6,15.0,9.33,6.8,1.23,0.89
1768,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,LIN,7.6,,RB,USA,1284,5,1777838400,1284,0.2,15.0,7.67,7.67,1.01,1.01
1766,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,LAW,7.5,,RB,USA,1284,5,1777838400,1284,0.6,16.0,16.67,10.4,2.22,1.39
1770,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,PER,7.0,,CAD,USA,1284,5,1777838400,1284,0.6,17.0,9.33,-1.0,1.33,-0.14
1762,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,STR,6.2,,AMR,USA,1284,5,1777838400,1284,-0.6,18.0,-18.0,-6.4,-2.9,-1.03
1767,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,BOR,5.8,,AUD,USA,1284,5,1777838400,1284,-0.6,19.0,0.67,4.4,0.12,0.76
1765,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,HUL,5.0,,AUD,USA,1284,5,1777838400,1284,-0.6,20.0,-1.0,0.6,-0.2,0.12
1771,2026,6,Miami Grand Prix,Miami Gardens,2026-05-03 20:00:00+00:00,BOT,4.1,,CAD,USA,1284,5,1777838400,1284,-0.6,21.0,-3.67,-3.0,-0.9,-0.73
