,year,race_num,race_name,location,start_date,driver,price,points,constructor,country_code,meeting_key_x,month,start_epoch,meeting_key_y,price_change_prev_race,price_rank,points_last_three_avg,points_last_five_avg,ppm_last_3,ppm_last_5
1728,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,VER,28.1,,RBR,JPN,1281,3,1774760400,1281,0.1,1.0,36.67,44.2,1.3,1.57
1729,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,RUS,28.0,,MER,JPN,1281,3,1774760400,1281,0.3,2.0,34.67,31.2,1.24,1.11
1730,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,NOR,26.8,,MCL,JPN,1281,3,1774760400,1281,-0.3,3.0,13.33,11.0,0.5,0.41
1731,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,PIA,24.9,,MCL,JPN,1281,3,1774760400,1281,-0.3,4.0,2.33,7.8,0.09,0.31
1732,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,ANT,23.8,,MER,JPN,1281,3,1774760400,1281,0.3,5.0,35.0,32.0,1.47,1.34
1733,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,LEC,23.4,,FER,JPN,1281,3,1774760400,1281,0.3,6.0,38.33,28.6,1.64,1.22
1734,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,HAM,22.9,,FER,JPN,1281,3,1774760400,1281,0.3,7.0,33.67,25.8,1.47,1.13
1735,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,HAD,13.9,,RBR,JPN,1281,3,1774760400,1281,-0.6,8.0,3.0,5.2,0.22,0.37
1736,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,GAS,12.8,,ALP,JPN,1281,3,1774760400,1281,0.6,9.0,11.33,7.0,0.89,0.55
1737,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,SAI,12.2,,WIL,JPN,1281,3,1774760400,1281,0.6,10.0,13.33,16.6,1.09,1.36
1738,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,ALB,10.8,,WIL,JPN,1281,3,1774760400,1281,-0.6,11.0,3.67,-0.2,0.34,-0.02
1739,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,ALO,8.8,,AMR,JPN,1281,3,1774760400,1281,-0.6,12.0,-1.33,2.0,-0.15,0.23
1741,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,BEA,8.6,,HAS,JPN,1281,3,1774760400,1281,0.6,13.0,20.0,10.6,2.33,1.23
1742,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,OCO,8.5,,HAS,JPN,1281,3,1774760400,1281,0.6,14.0,18.0,13.8,2.12,1.62
1746,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,LIN,7.4,,RB,JPN,1281,3,1774760400,1281,0.6,15.0,11.0,11.0,1.49,1.49
1747,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,COL,7.0,,ALP,JPN,1281,3,1774760400,1281,0.6,16.0,8.0,6.0,1.14,0.86
1744,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,LAW,6.9,,RB,JPN,1281,3,1774760400,1281,0.6,17.0,13.67,10.6,1.98,1.54
1740,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,STR,6.8,,AMR,JPN,1281,3,1774760400,1281,-0.6,18.0,-5.67,-7.0,-0.83,-1.03
1745,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,BOR,6.4,,AUD,JPN,1281,3,1774760400,1281,-0.6,19.0,1.67,-0.2,0.26,-0.03
1748,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,PER,6.4,,CAD,JPN,1281,3,1774760400,1281,0.6,19.0,2.0,1.8,0.31,0.28
1743,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,HUL,5.6,,AUD,JPN,1281,3,1774760400,1281,-0.6,20.0,3.67,0.8,0.66,0.14
1749,2026,3,Japanese Grand Prix,Suzuka,2026-03-29 05:00:00+00:00,BOT,4.7,,CAD,JPN,1281,3,1774760400,1281,-0.6,21.0,-9.67,-3.0,-2.06,-0.64
