,year,race_num,race_name,location,start_date,driver,price,points,constructor,country_code,meeting_key_x,month,start_epoch,meeting_key_y,price_change_prev_race,price_rank,points_last_three_avg,points_last_five_avg,ppm_last_3,ppm_last_5
0,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,VER,26.9,35.0,RBR,BRN,1141,3,1678028400,1141,,1.0,,,,
2,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,HAM,23.7,19.0,MER,BRN,1141,3,1678028400,1141,,2.0,,,,
7,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,LEC,21.2,-11.0,FER,BRN,1141,3,1678028400,1141,,3.0,,,,
6,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,RUS,18.6,16.0,MER,BRN,1141,3,1678028400,1141,,4.0,,,,
1,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,PER,18.0,28.0,RBR,BRN,1141,3,1678028400,1141,,5.0,,,,
5,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,SAI,17.2,19.0,FER,BRN,1141,3,1678028400,1141,,6.0,,,,
3,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,NOR,11.2,-1.0,MCL,BRN,1141,3,1678028400,1141,,7.0,,,,
15,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,OCO,9.4,-17.0,ALP,BRN,1141,3,1678028400,1141,,8.0,,,,
4,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,ALO,8.3,39.0,AMR,BRN,1141,3,1678028400,1141,,9.0,,,,
10,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,GAS,8.1,20.0,ALP,BRN,1141,3,1678028400,1141,,10.0,,,,
20,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,BOT,7.8,13.0,ALF,BRN,1141,3,1678028400,1141,,11.0,,,,
9,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,STR,7.5,17.0,AMR,BRN,1141,3,1678028400,1141,,12.0,,,,
8,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,PIA,7.0,-16.0,MCL,BRN,1141,3,1678028400,1141,,13.0,,,,
17,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,MAG,6.7,8.0,HAS,BRN,1141,3,1678028400,1141,,14.0,,,,
14,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,ALB,5.5,13.0,WIL,BRN,1141,3,1678028400,1141,,15.0,,,,
19,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,DEV,5.0,8.0,AT,BRN,1141,3,1678028400,1141,,16.0,,,,
13,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,ZHO,4.9,15.0,ALF,BRN,1141,3,1678028400,1141,,17.0,,,,
11,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,TSU,4.8,8.0,AT,BRN,1141,3,1678028400,1141,,18.0,,,,
18,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,HUL,4.3,-1.0,HAS,BRN,1141,3,1678028400,1141,,19.0,,,,
21,2023,1,Bahrain Grand Prix,Sakhir,2023-03-05 15:00:00+00:00,SAR,4.0,11.0,WIL,BRN,1141,3,1678028400,1141,,20.0,,,,
22,2023,2,Saudi Arabian Grand Prix,Jeddah,2023-03-19 17:00:00+00:00,VER,27.0,61.0,RBR,KSA,1142,3,1679245200,1142,0.1,1.0,35.0,35.0,1.3,1.3
24,2023,2,Saudi Arabian Grand Prix,Jeddah,2023-03-19 17:00:00+00:00,HAM,23.7,16.0,MER,KSA,1142,3,1679245200,1142,0.0,2.0,19.0,19.0,0.8,0.8
29,2023,2,Saudi Arabian Grand Prix,Jeddah,2023-03-19 17:00:00+00:00,LEC,21.1,27.0,FER,KSA,1142,3,1679245200,1142,-0.1,3.0,-11.0,-11.0,-0.52,-0.52
28,2023,2,Saudi Arabian Grand Prix,Jeddah,2023-03-19 17:00:00+00:00,RUS,18.6,18.0,MER,KSA,1142,3,1679245200,1142,0.0,4.0,16.0,16.0,0.86,0.86
23,2023,2,Saudi Arabian Grand Prix,Jeddah,2023-03-19 17:00:00+00:00,PER,18.1,36.0,RBR,KSA,1142,3,1679245200,1142,0.1,5.0,28.0,28.0,1.55,1.55
