,year,race_id,race_num,race_name,driver_id,constructor_id,current_price,prev_price,next_price,next_price_delta,fantasy_points,lagged_3_race_count,lagged_3_race_points_avg,price_tier,distance_from_ceiling,distance_from_floor,at_price_ceiling,at_price_floor
0,2023,4,4,Azerbaijan Grand Prix,40,38,3.8,3.9,3.7,-0.1,0.0,3,6.0,below_18_5,30.2,0.8,0,0
1,2023,4,4,Azerbaijan Grand Prix,44,17,4.1,4.1,4.0,-0.1,2.0,3,3.67,below_18_5,29.9,1.1,0,0
2,2023,4,4,Azerbaijan Grand Prix,68,2,4.8,4.8,4.7,-0.1,-13.0,3,8.0,below_18_5,29.2,1.8,0,0
3,2023,4,4,Azerbaijan Grand Prix,47,2,4.9,5.0,4.8,-0.1,-15.0,3,6.0,below_18_5,29.1,1.9,0,0
4,2023,4,4,Azerbaijan Grand Prix,70,1,4.9,4.9,4.8,-0.1,-10.0,3,12.0,below_18_5,29.1,1.9,0,0
5,2023,4,4,Azerbaijan Grand Prix,2,38,5.3,5.4,5.2,-0.1,2.0,3,-6.33,below_18_5,28.7,2.3,0,0
6,2023,4,4,Azerbaijan Grand Prix,33,17,6.6,6.7,6.6,0.0,16.0,3,6.33,below_18_5,27.4,3.6,0,0
7,2023,4,4,Azerbaijan Grand Prix,51,23,6.8,6.8,6.8,0.0,8.0,3,0.67,below_18_5,27.2,3.8,0,0
8,2023,4,4,Azerbaijan Grand Prix,35,7,7.6,7.5,7.7,0.1,18.0,3,8.0,below_18_5,26.4,4.6,0,0
9,2023,4,4,Azerbaijan Grand Prix,65,1,7.7,7.7,7.6,-0.1,-1.0,3,7.67,below_18_5,26.3,4.7,0,0
10,2023,4,4,Azerbaijan Grand Prix,54,3,8.1,8.2,8.1,0.0,17.0,3,9.0,below_18_5,25.9,5.1,0,0
11,2023,4,4,Azerbaijan Grand Prix,17,7,8.9,8.7,9.1,0.2,27.0,3,28.33,below_18_5,25.1,5.9,0,0
12,2023,4,4,Azerbaijan Grand Prix,15,3,9.2,9.3,9.2,0.0,7.0,3,-2.67,below_18_5,24.8,6.2,0,0
13,2023,4,4,Azerbaijan Grand Prix,36,23,11.2,11.1,11.1,-0.1,0.0,3,8.33,below_18_5,22.8,8.2,0,0
14,2023,4,4,Azerbaijan Grand Prix,9,13,17.2,17.2,17.2,0.0,21.0,3,13.0,below_18_5,16.8,14.2,0,0
15,2023,4,4,Azerbaijan Grand Prix,60,34,18.3,18.2,18.4,0.1,61.0,3,38.67,below_18_5,15.7,15.3,0,0
16,2023,4,4,Azerbaijan Grand Prix,22,27,18.5,18.6,18.6,0.1,25.0,3,9.0,above_18_5,15.5,15.5,0,0
17,2023,4,4,Azerbaijan Grand Prix,10,13,21.1,21.2,21.2,0.1,29.0,3,0.33,above_18_5,12.9,18.1,0,0
18,2023,4,4,Azerbaijan Grand Prix,38,27,23.8,23.7,23.8,0.0,19.0,3,21.33,above_18_5,10.2,20.8,0,0
19,2023,4,4,Azerbaijan Grand Prix,43,34,27.2,27.1,27.3,0.1,37.0,3,44.0,above_18_5,6.8,24.2,0,0
20,2023,5,5,Miami Grand Prix,40,38,3.7,3.8,3.6,-0.1,1.0,3,2.33,below_18_5,30.3,0.7,0,0
21,2023,5,5,Miami Grand Prix,44,17,4.0,4.1,3.9,-0.1,4.0,3,4.67,below_18_5,30.0,1.0,0,0
22,2023,5,5,Miami Grand Prix,68,2,4.7,4.8,4.7,0.0,16.0,3,1.0,below_18_5,29.3,1.7,0,0
23,2023,5,5,Miami Grand Prix,47,2,4.8,4.9,4.7,-0.1,0.0,3,-1.67,below_18_5,29.2,1.8,0,0
24,2023,5,5,Miami Grand Prix,70,1,4.8,4.9,4.7,-0.1,1.0,3,3.67,below_18_5,29.2,1.8,0,0
25,2023,5,5,Miami Grand Prix,2,38,5.2,5.3,5.1,-0.1,-1.0,3,-10.0,below_18_5,28.8,2.2,0,0
26,2023,5,5,Miami Grand Prix,33,17,6.6,6.6,6.5,-0.1,6.0,3,9.0,below_18_5,27.4,3.6,0,0
27,2023,5,5,Miami Grand Prix,51,23,6.8,6.8,6.7,-0.1,5.0,3,8.67,below_18_5,27.2,3.8,0,0
28,2023,5,5,Miami Grand Prix,65,1,7.6,7.7,7.5,-0.1,2.0,3,3.0,below_18_5,26.4,4.6,0,0
29,2023,5,5,Miami Grand Prix,35,7,7.7,7.6,7.7,0.0,12.0,3,8.33,below_18_5,26.3,4.7,0,0
30,2023,5,5,Miami Grand Prix,54,3,8.1,8.1,8.1,0.0,10.0,3,8.0,below_18_5,25.9,5.1,0,0
31,2023,5,5,Miami Grand Prix,17,7,9.1,8.9,9.2,0.1,25.0,3,24.33,below_18_5,24.9,6.1,0,0
32,2023,5,5,Miami Grand Prix,15,3,9.2,9.2,9.2,0.0,8.0,3,5.33,below_18_5,24.8,6.2,0,0
33,2023,5,5,Miami Grand Prix,36,23,11.1,11.2,11.0,-0.1,1.0,3,8.67,below_18_5,22.9,8.1,0,0
34,2023,5,5,Miami Grand Prix,9,13,17.2,17.2,17.2,0.0,20.0,3,13.67,below_18_5,16.8,14.2,0,0
35,2023,5,5,Miami Grand Prix,60,34,18.4,18.3,18.4,0.0,28.0,3,49.67,below_18_5,15.6,15.4,0,0
36,2023,5,5,Miami Grand Prix,22,27,18.6,18.5,18.6,0.0,28.0,3,12.0,above_18_5,15.4,15.6,0,0
37,2023,5,5,Miami Grand Prix,10,13,21.2,21.1,21.2,0.0,16.0,3,13.67,above_18_5,12.8,18.2,0,0
38,2023,5,5,Miami Grand Prix,38,27,23.8,23.8,23.8,0.0,24.0,3,21.33,above_18_5,10.2,20.8,0,0
39,2023,5,5,Miami Grand Prix,43,34,27.3,27.2,27.4,0.1,64.0,3,44.67,above_18_5,6.7,24.3,0,0
40,2023,7,7,Spanish Grand Prix,40,38,3.6,3.7,3.5,-0.1,0.0,3,2.0,below_18_5,30.4,0.6,0,0
41,2023,7,7,Spanish Grand Prix,44,17,3.9,4.0,3.9,0.0,7.0,3,5.67,below_18_5,30.1,0.9,0,0
42,2023,7,7,Spanish Grand Prix,47,2,4.7,4.8,4.6,-0.1,0.0,3,-4.0,below_18_5,29.3,1.7,0,0
43,2023,7,7,Spanish Grand Prix,70,1,4.7,4.8,4.7,0.0,11.0,3,2.0,below_18_5,29.3,1.7,0,0
44,2023,7,7,Spanish Grand Prix,68,2,4.7,4.7,4.6,-0.1,-4.0,3,3.33,below_18_5,29.3,1.7,0,0
45,2023,7,7,Spanish Grand Prix,2,38,5.1,5.2,5.0,-0.1,0.0,3,-4.67,below_18_5,28.9,2.1,0,0
46,2023,7,7,Spanish Grand Prix,33,17,6.5,6.6,6.4,-0.1,1.0,3,8.0,below_18_5,27.5,3.5,0,0
